0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:17:14 +0530] "GET /PizzaWale/static/js/angular-cookies.js HTTP/1.1" 200 9739
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:17:14 +0530] "GET /PizzaWale/static/images/logo.png HTTP/1.1" 200 66003
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:17:14 +0530] "GET /PizzaWale/static/js/angular-route.js HTTP/1.1" 200 38728
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:17:14 +0530] "GET /PizzaWale/static/js/app.js HTTP/1.1" 200 1934
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:17:14 +0530] "GET /PizzaWale/static/js/ngStorage.min.js HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:17:14 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:17:14 +0530] "GET /PizzaWale/static/js/angular-animate.js HTTP/1.1" 200 150696
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:17:14 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:17:14 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:17:14 +0530] "GET /PizzaWale/static/home/home.controller.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:17:14 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:17:14 +0530] "GET /PizzaWale/static/login/login.controller.js HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:17:14 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:17:14 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:17:14 +0530] "GET /PizzaWale/static/images/pizza_background.jpg HTTP/1.1" 200 98762
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:17:14 +0530] "GET /PizzaWale/static/js/angular.js HTTP/1.1" 200 1174119
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:17:14 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:17:20 +0530] "GET /PizzaWale/ HTTP/1.1" 200 4952
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:17:21 +0530] "GET /PizzaWale/static/home/home.view.html HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:17:22 +0530] "GET /PizzaWale/static/login/login.view.html HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:17:22 +0530] "GET /PizzaWale/static/css/login.css HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:17:25 +0530] "POST /PizzaWale/user/login HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:19:49 +0530] "GET /PizzaWale/ HTTP/1.1" 200 4952
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:19:49 +0530] "GET /PizzaWale/static/js/angular-cookies.js HTTP/1.1" 200 9739
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:19:49 +0530] "GET /PizzaWale/static/js/angular-route.js HTTP/1.1" 200 38728
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:19:49 +0530] "GET /PizzaWale/static/images/logo.png HTTP/1.1" 200 66003
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:19:49 +0530] "GET /PizzaWale/static/js/ngStorage.min.js HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:19:49 +0530] "GET /PizzaWale/static/js/app.js HTTP/1.1" 200 1934
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:19:49 +0530] "GET /PizzaWale/static/js/angular-animate.js HTTP/1.1" 200 150696
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:19:49 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:19:49 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:19:49 +0530] "GET /PizzaWale/static/home/home.controller.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:19:49 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:19:49 +0530] "GET /PizzaWale/static/login/login.controller.js HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:19:49 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:19:49 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:19:49 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:19:49 +0530] "GET /PizzaWale/static/js/angular.js HTTP/1.1" 200 1174119
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:19:49 +0530] "GET /PizzaWale/static/login/login.view.html HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:19:49 +0530] "GET /PizzaWale/static/images/pizza_background.jpg HTTP/1.1" 200 98762
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:19:49 +0530] "GET /PizzaWale/static/css/login.css HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:19:49 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:19:50 +0530] "POST /PizzaWale/user/login HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:21 +0530] "GET /PizzaWale/static/register/register.view.html HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:21 +0530] "GET /PizzaWale/static/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:21 +0530] "GET /PizzaWale/static/css/register.css HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:21 +0530] "GET /PizzaWale/static/home/home.view.html HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:22 +0530] "GET /PizzaWale/static/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:24 +0530] "GET /PizzaWale/ HTTP/1.1" 200 4952
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:24 +0530] "GET /PizzaWale/static/images/logo.png HTTP/1.1" 200 66003
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:24 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:24 +0530] "GET /PizzaWale/static/js/app.js HTTP/1.1" 200 1934
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:24 +0530] "GET /PizzaWale/static/js/angular-cookies.js HTTP/1.1" 200 9739
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:24 +0530] "GET /PizzaWale/static/js/ngStorage.min.js HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:24 +0530] "GET /PizzaWale/static/js/angular-route.js HTTP/1.1" 200 38728
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:24 +0530] "GET /PizzaWale/static/js/angular-animate.js HTTP/1.1" 200 150696
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:24 +0530] "GET /PizzaWale/static/home/home.controller.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:24 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:24 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:24 +0530] "GET /PizzaWale/static/login/login.controller.js HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:24 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:24 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:24 +0530] "GET /PizzaWale/static/images/pizza_background.jpg HTTP/1.1" 200 98762
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:24 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:24 +0530] "GET /PizzaWale/static/js/angular.js HTTP/1.1" 200 1174119
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:24 +0530] "GET /PizzaWale/static/home/home.view.html HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:24 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:25 +0530] "GET /PizzaWale/static/register/register.view.html HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:25 +0530] "GET /PizzaWale/static/css/register.css HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:25 +0530] "GET /PizzaWale/static/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:31 +0530] "GET /PizzaWale/ HTTP/1.1" 200 4952
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:31 +0530] "GET /PizzaWale/static/js/angular-cookies.js HTTP/1.1" 200 9739
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:31 +0530] "GET /PizzaWale/static/images/logo.png HTTP/1.1" 200 66003
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:31 +0530] "GET /PizzaWale/static/js/ngStorage.min.js HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:31 +0530] "GET /PizzaWale/static/js/angular-route.js HTTP/1.1" 200 38728
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:31 +0530] "GET /PizzaWale/static/js/app.js HTTP/1.1" 200 1934
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:31 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:31 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:31 +0530] "GET /PizzaWale/static/js/angular-animate.js HTTP/1.1" 200 150696
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:31 +0530] "GET /PizzaWale/static/home/home.controller.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:31 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:31 +0530] "GET /PizzaWale/static/login/login.controller.js HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:31 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:31 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:31 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:31 +0530] "GET /PizzaWale/static/js/angular.js HTTP/1.1" 200 1174119
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:32 +0530] "GET /PizzaWale/static/home/home.view.html HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:32 +0530] "GET /PizzaWale/static/images/pizza_background.jpg HTTP/1.1" 200 98762
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:32 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:32 +0530] "GET /PizzaWale/static/register/register.view.html HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:32 +0530] "GET /PizzaWale/static/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:32 +0530] "GET /PizzaWale/static/css/register.css HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:20:54 +0530] "POST /PizzaWale/register HTTP/1.1" 409 158
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:21:17 +0530] "POST /PizzaWale/register HTTP/1.1" 201 158
0:0:0:0:0:0:0:1 - - [19/Aug/2019:09:21:18 +0530] "GET /PizzaWale/static/login/login.view.html HTTP/1.1" 200 2941
