127.0.0.1 - - [13/Aug/2019:20:20:01 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:02 +0530] "GET /pizza_order/ HTTP/1.1" 200 3567
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:39 +0530] "GET /pizza_order/ HTTP/1.1" 200 3567
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:39 +0530] "GET /pizza_order/static/css/login.css HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:39 +0530] "GET /pizza_order/static/images/logo-3.png HTTP/1.1" 200 12975
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:39 +0530] "GET /pizza_order/static/js/app.js HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:39 +0530] "GET /pizza_order/static/js/angular-route.js HTTP/1.1" 200 38728
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:39 +0530] "GET /pizza_order/static/js/angular-cookies.js HTTP/1.1" 200 9739
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:39 +0530] "GET /pizza_order/static/js/ngStorage.min.js HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:39 +0530] "GET /pizza_order/static/js/angular-animate.js HTTP/1.1" 200 150696
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:40 +0530] "GET /pizza_order/static/app-services/user.service.js HTTP/1.1" 200 2975
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:40 +0530] "GET /pizza_order/static/app-services/order.service.js HTTP/1.1" 200 1505
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:40 +0530] "GET /pizza_order/static/home/home.controller.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:40 +0530] "GET /pizza_order/static/login/login.controller.js HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:40 +0530] "GET /pizza_order/static/js/angular.js HTTP/1.1" 200 1174119
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:40 +0530] "GET /pizza_order/static/order/order.controller.js HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:40 +0530] "GET /pizza_order/static/register/register.controller.js HTTP/1.1" 200 1079
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:40 +0530] "GET /pizza_order/static/css/Lemonade%20Stand%20D.otf HTTP/1.1" 200 52304
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:40 +0530] "GET /pizza_order/static/css/AlegreyaSC-Black.ttf HTTP/1.1" 200 71140
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:40 +0530] "GET /pizza_order/static/editorder/editorder.controller.js HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:40 +0530] "GET /pizza_order/static/end/end.controller.js HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:40 +0530] "GET /pizza_order/static/home/home.view.html HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:40 +0530] "GET /pizza_order/static/css/home.css HTTP/1.1" 200 1212
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:40 +0530] "GET /pizza_order/static/images/la_piazza.jpg HTTP/1.1" 200 393385
